rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss
21.08,15,17,550,8704,7.627781699999999,0.0759765625,0.2,0.04607003927230835,0.008339915,-1.0624949790537357,160,-0.005470481136580929,0.0005,10.885910069942474,5.3844499588012695
20.21,15,18,581,9216,7.245309069999999,0.0220703125,0.2,0.18953853845596313,0.002026551,-1.1402157455682755,170,-0.0010352133424021304,0.0005,12.582154870033264,6.4514641761779785
20.27,15,19,614,9728,7.214296179999998,0.0990234375,0.2,0.22055041790008545,0.012745329,-1.0338248774409293,180,-0.009319048016914166,0.0005,8.263726967573167,3.6209776401519775
17.77,15,20,648,10240,6.1426361,0.0109375,0.2,0.2543104887008667,0.0013798485,-1.0273383997380734,190,0.00033651049016043545,0.0005,7.137892776727677,3.872215747833252
18.2,15,21,680,10752,6.345767360000001,0.0322265625,0.2,0.27752363681793213,0.0050895773,-1.0559982389211655,200,-0.0018581631011329591,0.0005,3.864023432135582,1.6514416933059692
16.66,15,22,713,11264,5.54807521,0.0435546875,0.2,0.20931243896484375,0.009140118,-1.090567983686924,210,-0.0024909445026423784,0.0005,7.998798751831055,3.8194022178649902
17.9,15,23,749,11776,5.89640003,0.049609375,0.2,0.1287207007408142,0.0077084014,-1.087446603178978,220,-0.0050878291542176156,0.0005,5.629296743869782,3.0984597206115723
18.28,15,24,781,12288,5.91784969,0.04609375,0.2,0.17201340198516846,0.013027556,-1.0962367847561836,230,-0.004557679413119331,0.0005,6.016611808538437,2.7119219303131104
17.97,15,25,814,12800,5.85311142,0.05546875,0.2,0.4323875904083252,0.010263023,-1.0682939246296883,240,-0.006036391656380147,0.0005,4.266404256224632,1.8113998174667358
19.22,15,26,850,13312,6.515199010000001,0.166015625,0.2,0.0974118709564209,0.014892172,-0.9965390101075172,250,-0.012444739299826323,0.0005,6.955301827192306,3.457078456878662
17.86,15,27,883,13824,6.047611529999999,0.0732421875,0.2,0.15092939138412476,0.013192642,-0.9117633931338787,260,-0.009319426026195288,0.0005,6.434835815429688,2.604985475540161
17.78,15,28,915,14336,6.211145110000001,0.06328125,0.2,0.0033409595489501953,0.010043796,-0.8649568416178226,270,-0.00604377500130795,0.0005,8.33366463780403,3.7629988193511963
18.75,15,29,948,14848,6.672259040000001,0.0251953125,0.2,0.15382134914398193,0.0016760828,-0.8545518733561039,280,-0.0018533527269028126,0.0005,5.942035841941833,3.467585563659668
19.44,15,30,981,15360,6.956256949999999,0.0779296875,0.2,0.181688129901886,0.0060866303,-0.8876845292747021,290,-0.006300733593525365,0.0005,6.896633213758468,2.7439820766448975
20.79,15,31,1017,15872,7.596870720000001,0.0357421875,0.2,0.3040784001350403,0.012232546,-0.8668513655662536,300,-0.0016425701207481325,0.0005,6.3557531297206875,3.497965097427368
20.18,15,32,1053,16384,7.38239239,0.1431640625,0.2,0.10962623357772827,0.0068634395,-0.8498804628849029,310,-0.0128031833213754,0.0005,9.42794011235237,4.476740837097168
20.37,15,33,1086,16896,7.489190889999998,0.0318359375,0.2,0.2714770436286926,0.005242433,-0.8382186338305473,320,-0.0026239777042064817,0.0005,7.187273007631302,3.367825746536255
20.05,15,34,1125,17408,7.4801548,0.0716796875,0.2,0.3026084303855896,0.00576297,-0.7719810508191586,330,-0.007378719377447851,0.0005,6.2473300218582155,2.2529640197753906
21.44,15,35,1166,17920,8.0682401,0.01328125,0.2,0.1202964186668396,0.0024107373,-0.7435468837618828,340,-0.004581459736800753,0.0005,8.249732387065887,3.3686330318450928
21.87,15,36,1202,18432,8.32383559,0.0693359375,0.2,0.341386616230011,0.004423978,-0.8357290618121624,350,-0.004482905368786305,0.0005,7.682177573442459,3.287390947341919
21.93,15,37,1241,18944,8.29801666,0.0724609375,0.2,0.3600614666938782,0.008335553,-0.7260266669094563,360,-0.007544957578647882,0.0005,11.374057787656785,4.548410892486572
22.38,15,38,1277,19456,8.48330209,0.0236328125,0.2,0.27373528480529785,0.0029647602,-0.6459553092718124,370,-0.001142923894803971,0.0005,7.7098653554916385,3.0841143131256104
22.05,15,39,1318,19968,8.415966059999999,0.038671875,0.2,0.3375062346458435,0.0022467896,-0.6586171098053455,380,-0.003391769342124462,0.0005,6.935702872276306,4.1452741622924805
22.37,15,40,1359,20480,8.475116869999999,0.03203125,0.2,0.26228272914886475,0.0028897882,-0.6561811313033103,390,-0.00046349228359758853,0.0005,9.33915542960167,5.110869407653809
